50 800
0 1 1.0
0 2 1.0
0 6 1.0
0 7 1.0
0 9 1.0
0 10 1.0
0 11 1.0
0 12 1.0
0 13 1.0
0 14 1.0
0 16 1.0
0 17 1.0
0 19 1.0
0 20 1.0
0 21 1.0
0 22 1.0
0 23 1.0
0 24 1.0
0 25 1.0
0 27 1.0
0 32 1.0
0 34 1.0
0 35 1.0
0 37 1.0
0 38 1.0
0 40 1.0
0 42 1.0
0 44 1.0
0 47 1.0
0 49 1.0
1 2 1.0
1 4 1.0
1 6 1.0
1 9 1.0
1 10 1.0
1 11 1.0
1 13 1.0
1 14 1.0
1 15 1.0
1 20 1.0
1 23 1.0
1 25 1.0
1 26 1.0
1 27 1.0
1 28 1.0
1 29 1.0
1 30 1.0
1 32 1.0
1 33 1.0
1 35 1.0
1 36 1.0
1 37 1.0
1 41 1.0
1 42 1.0
1 43 1.0
1 44 1.0
1 45 1.0
1 46 1.0
1 47 1.0
1 49 1.0
2 3 1.0
2 4 1.0
2 5 1.0
2 6 1.0
2 8 1.0
2 9 1.0
2 10 1.0
2 11 1.0
2 12 1.0
2 13 1.0
2 16 1.0
2 17 1.0
2 18 1.0
2 19 1.0
2 20 1.0
2 21 1.0
2 22 1.0
2 23 1.0
2 24 1.0
2 25 1.0
2 27 1.0
2 29 1.0
2 30 1.0
2 32 1.0
2 33 1.0
2 34 1.0
2 35 1.0
2 39 1.0
2 40 1.0
2 41 1.0
2 42 1.0
2 44 1.0
2 46 1.0
2 47 1.0
2 49 1.0
3 4 1.0
3 5 1.0
3 6 1.0
3 7 1.0
3 8 1.0
3 9 1.0
3 10 1.0
3 11 1.0
3 12 1.0
3 13 1.0
3 15 1.0
3 17 1.0
3 18 1.0
3 19 1.0
3 20 1.0
3 21 1.0
3 24 1.0
3 25 1.0
3 26 1.0
3 27 1.0
3 28 1.0
3 30 1.0
3 31 1.0
3 32 1.0
3 33 1.0
3 35 1.0
3 36 1.0
3 37 1.0
3 38 1.0
3 39 1.0
3 41 1.0
3 42 1.0
3 43 1.0
3 44 1.0
3 45 1.0
3 47 1.0
3 48 1.0
4 5 1.0
4 7 1.0
4 8 1.0
4 10 1.0
4 12 1.0
4 13 1.0
4 15 1.0
4 17 1.0
4 18 1.0
4 19 1.0
4 20 1.0
4 24 1.0
4 27 1.0
4 30 1.0
4 31 1.0
4 33 1.0
4 37 1.0
4 38 1.0
4 39 1.0
4 40 1.0
4 41 1.0
4 44 1.0
4 46 1.0
4 48 1.0
4 49 1.0
5 8 1.0
5 10 1.0
5 12 1.0
5 16 1.0
5 19 1.0
5 20 1.0
5 21 1.0
5 22 1.0
5 25 1.0
5 26 1.0
5 27 1.0
5 28 1.0
5 29 1.0
5 30 1.0
5 32 1.0
5 33 1.0
5 40 1.0
5 41 1.0
5 42 1.0
5 44 1.0
5 45 1.0
5 47 1.0
5 48 1.0
5 49 1.0
6 7 1.0
6 9 1.0
6 10 1.0
6 11 1.0
6 13 1.0
6 14 1.0
6 15 1.0
6 16 1.0
6 18 1.0
6 20 1.0
6 21 1.0
6 23 1.0
6 24 1.0
6 26 1.0
6 27 1.0
6 29 1.0
6 34 1.0
6 35 1.0
6 37 1.0
6 38 1.0
6 39 1.0
6 41 1.0
6 45 1.0
6 47 1.0
6 48 1.0
6 49 1.0
7 8 1.0
7 9 1.0
7 12 1.0
7 13 1.0
7 17 1.0
7 18 1.0
7 20 1.0
7 21 1.0
7 23 1.0
7 26 1.0
7 28 1.0
7 30 1.0
7 31 1.0
7 33 1.0
7 34 1.0
7 35 1.0
7 38 1.0
7 40 1.0
7 41 1.0
7 44 1.0
7 46 1.0
7 47 1.0
7 48 1.0
7 49 1.0
8 11 1.0
8 12 1.0
8 13 1.0
8 14 1.0
8 15 1.0
8 17 1.0
8 18 1.0
8 19 1.0
8 21 1.0
8 22 1.0
8 23 1.0
8 24 1.0
8 27 1.0
8 28 1.0
8 29 1.0
8 31 1.0
8 34 1.0
8 35 1.0
8 36 1.0
8 37 1.0
8 39 1.0
8 43 1.0
8 45 1.0
8 48 1.0
8 49 1.0
9 10 1.0
9 11 1.0
9 14 1.0
9 15 1.0
9 17 1.0
9 20 1.0
9 21 1.0
9 23 1.0
9 25 1.0
9 26 1.0
9 27 1.0
9 30 1.0
9 31 1.0
9 32 1.0
9 33 1.0
9 34 1.0
9 37 1.0
9 39 1.0
9 40 1.0
9 41 1.0
9 44 1.0
9 47 1.0
9 49 1.0
10 13 1.0
10 15 1.0
10 16 1.0
10 18 1.0
10 19 1.0
10 20 1.0
10 21 1.0
10 22 1.0
10 23 1.0
10 24 1.0
10 26 1.0
10 27 1.0
10 28 1.0
10 29 1.0
10 32 1.0
10 34 1.0
10 35 1.0
10 36 1.0
10 37 1.0
10 43 1.0
10 45 1.0
10 46 1.0
10 47 1.0
10 49 1.0
11 13 1.0
11 14 1.0
11 16 1.0
11 17 1.0
11 18 1.0
11 21 1.0
11 22 1.0
11 23 1.0
11 26 1.0
11 27 1.0
11 28 1.0
11 30 1.0
11 32 1.0
11 36 1.0
11 37 1.0
11 41 1.0
11 42 1.0
11 44 1.0
11 45 1.0
11 46 1.0
11 47 1.0
11 49 1.0
12 13 1.0
12 15 1.0
12 18 1.0
12 19 1.0
12 20 1.0
12 21 1.0
12 22 1.0
12 23 1.0
12 25 1.0
12 26 1.0
12 28 1.0
12 29 1.0
12 30 1.0
12 32 1.0
12 33 1.0
12 36 1.0
12 37 1.0
12 38 1.0
12 39 1.0
12 40 1.0
12 41 1.0
12 42 1.0
12 43 1.0
12 44 1.0
12 46 1.0
12 48 1.0
12 49 1.0
13 14 1.0
13 15 1.0
13 19 1.0
13 20 1.0
13 21 1.0
13 22 1.0
13 23 1.0
13 25 1.0
13 27 1.0
13 29 1.0
13 30 1.0
13 31 1.0
13 33 1.0
13 34 1.0
13 39 1.0
13 40 1.0
13 41 1.0
13 42 1.0
13 44 1.0
13 45 1.0
13 48 1.0
13 49 1.0
14 15 1.0
14 16 1.0
14 18 1.0
14 19 1.0
14 21 1.0
14 22 1.0
14 25 1.0
14 26 1.0
14 27 1.0
14 28 1.0
14 29 1.0
14 30 1.0
14 31 1.0
14 33 1.0
14 34 1.0
14 35 1.0
14 36 1.0
14 37 1.0
14 38 1.0
14 40 1.0
14 41 1.0
14 42 1.0
14 43 1.0
14 44 1.0
14 45 1.0
14 48 1.0
14 49 1.0
15 16 1.0
15 17 1.0
15 18 1.0
15 20 1.0
15 22 1.0
15 27 1.0
15 29 1.0
15 30 1.0
15 32 1.0
15 35 1.0
15 36 1.0
15 37 1.0
15 38 1.0
15 39 1.0
15 40 1.0
15 42 1.0
15 43 1.0
15 46 1.0
15 48 1.0
16 17 1.0
16 18 1.0
16 25 1.0
16 26 1.0
16 28 1.0
16 29 1.0
16 34 1.0
16 35 1.0
16 36 1.0
16 37 1.0
16 40 1.0
16 41 1.0
16 42 1.0
16 43 1.0
16 44 1.0
16 45 1.0
16 46 1.0
16 48 1.0
16 49 1.0
17 18 1.0
17 19 1.0
17 25 1.0
17 26 1.0
17 28 1.0
17 29 1.0
17 30 1.0
17 31 1.0
17 33 1.0
17 35 1.0
17 36 1.0
17 37 1.0
17 39 1.0
17 40 1.0
17 43 1.0
17 44 1.0
17 45 1.0
17 47 1.0
17 49 1.0
18 19 1.0
18 20 1.0
18 21 1.0
18 22 1.0
18 23 1.0
18 24 1.0
18 25 1.0
18 26 1.0
18 27 1.0
18 28 1.0
18 29 1.0
18 30 1.0
18 32 1.0
18 33 1.0
18 34 1.0
18 35 1.0
18 39 1.0
18 40 1.0
18 41 1.0
18 42 1.0
18 43 1.0
18 44 1.0
18 46 1.0
18 49 1.0
19 20 1.0
19 21 1.0
19 25 1.0
19 29 1.0
19 30 1.0
19 31 1.0
19 32 1.0
19 34 1.0
19 35 1.0
19 36 1.0
19 37 1.0
19 38 1.0
19 39 1.0
19 41 1.0
19 42 1.0
19 43 1.0
19 44 1.0
19 46 1.0
19 48 1.0
